i_th actor,our names,mixamo name,search as,website search,n_results,i_result,scale
0,actor_000,Abe,Abe,https://www.mixamo.com/#/?page=1&query=Abe&type=Character,3,0,0.02233
1,actor_001,Adam,Adam,https://www.mixamo.com/#/?page=1&query=Adam&type=Character,1,0,0.02247
2,actor_002,Alex,Alex,https://www.mixamo.com/#/?page=1&query=Alex&type=Character,1,0,0.02265
3,actor_003,Alien Soldier,Alien Soldier,https://www.mixamo.com/#/?page=1&query=Alien+Soldier&type=Character,1,0,0.02095
4,actor_004,Andromeda,Andromeda,https://www.mixamo.com/#/?page=1&query=Andromeda&type=Character,1,0,0.01197
5,actor_005,Astra,Astra,https://www.mixamo.com/#/?page=1&query=Astra&type=Character,1,0,0.02321
6,actor_006,Brian,Brian,https://www.mixamo.com/#/?page=1&query=Brian&type=Character,1,0,0.02267
7,actor_007,Bryce,Bryce,https://www.mixamo.com/#/?page=1&query=Bryce&type=Character,1,0,0.02224
8,actor_008,Castle Guard 01,Castle Guard 01,https://www.mixamo.com/#/?page=1&query=Castle+Guard+01&type=Character,2,0,0.01934
9,actor_009,Castle Guard 02,Castle Guard 02,https://www.mixamo.com/#/?page=1&query=Castle+Guard+02&type=Character,2,0,0.01851
10,actor_010,Chad,Chad,https://www.mixamo.com/#/?page=1&query=Chad&type=Character,1,0,0.02254
11,actor_011,Crypto,Crypto,https://www.mixamo.com/#/?page=1&query=Crypto&type=Character,1,0,0.02154
12,actor_012,David,David,https://www.mixamo.com/#/?page=1&query=David&type=Character,1,0,0.02257
13,actor_013,Douglas,Douglas,https://www.mixamo.com/#/?page=1&query=Douglas&type=Character,1,0,0.02168
14,actor_014,Dreyar By M.Aure,Dreyar By M. Aure,https://www.mixamo.com/#/?page=1&query=Dreyar+By+M.+Aure&type=Character,1,0,0.002325
15,actor_015,Dummy,Dummy,https://www.mixamo.com/#/?page=1&query=Dummy&type=Character,2,0,0.02267
16,actor_016,Elizabeth,Elizabeth,https://www.mixamo.com/#/?page=1&query=Elizabeth&type=Character,1,0,0.02254
17,actor_017,Eve By J.Gonzales,Eve By J. Gonzales,https://www.mixamo.com/#/?page=1&query=Eve+By+J.+Gonzales&type=Character,1,0,0.02926
18,actor_018,Exo Gray,Exo Gray,https://www.mixamo.com/#/?page=1&query=Exo+Gray&type=Character,1,0,0.02231
19,actor_019,Exo Red,Exo Red,https://www.mixamo.com/#/?page=1&query=Exo+Red&type=Character,1,0,0.02231
20,actor_020,Gas Mask,Gas Mask,https://www.mixamo.com/#/?page=1&query=Gas+Mask&type=Character,1,0,0.02235
21,actor_021,Heraklios By A. Dizon,Heraklios By A. Dizon,https://www.mixamo.com/#/?page=1&query=Heraklios+By+A.+Dizon&type=Character,1,0,0.0222
22,actor_022,Jackie,Jackie,https://www.mixamo.com/#/?page=1&query=Jackie&type=Character,4,0,0.0252
23,actor_023,James,James,https://www.mixamo.com/#/?page=1&query=James&type=Character,1,0,0.02212
24,actor_024,Jasper,Jasper,https://www.mixamo.com/#/?page=1&query=Jasper&type=Character,1,0,0.0252
25,actor_025,Jennifer,Jennifer,https://www.mixamo.com/#/?page=1&query=Jennifer&type=Character,1,0,0.02248
26,actor_026,Jody,Jody,https://www.mixamo.com/#/?page=1&query=Jody&type=Character,1,0,0.02295
27,actor_027,Joe,Joe,https://www.mixamo.com/#/?page=1&query=Joe&type=Character,10,0,0.02255
28,actor_028,Josh,Josh,https://www.mixamo.com/#/?page=1&query=Josh&type=Character,1,0,0.02258
29,actor_029,Kachujin G Rosales,Kachujin G Rosales,https://www.mixamo.com/#/?page=1&query=Kachujin+G+Rosales&type=Character,1,0,0.01985
30,actor_030,Kate,Kate,https://www.mixamo.com/#/?page=1&query=Kate&type=Character,1,0,0.02284
31,actor_031,Knight D Pelegrini,Knight D Pelegrini,https://www.mixamo.com/#/?page=1&query=Knight+D+Pelegrini&type=Character,1,0,0.01963
32,actor_032,Leonard,Leonard,https://www.mixamo.com/#/?page=1&query=Leonard&type=Character,1,0,0.02254
33,actor_033,Lewis,Lewis,https://www.mixamo.com/#/?page=1&query=Lewis&type=Character,1,0,0.02263
34,actor_034,Liam,Liam,https://www.mixamo.com/#/?page=1&query=Liam&type=Character,1,0,0.01088
35,actor_035,Lola B Styperek,Lola B Styperek,https://www.mixamo.com/#/?page=1&query=Lola+B+Styperek&type=Character,1,0,0.02006
36,actor_036,Louise,Louise,https://www.mixamo.com/#/?page=1&query=Louise&type=Character,1,0,0.0229
37,actor_037,Malcolm,Malcolm,https://www.mixamo.com/#/?page=1&query=Malcolm&type=Character,1,0,0.0109
38,actor_038,Mannequin,Mannequin,https://www.mixamo.com/#/?page=1&query=Mannequin&type=Character,1,0,0.022553
39,actor_039,Maria J J Ong,Maria J J Ong,https://www.mixamo.com/#/?page=1&query=Maria+J+J+Ong&type=Character,2,0,0.02297
40,actor_040,Martha,Martha,https://www.mixamo.com/#/?page=1&query=Martha&type=Character,3,0,0.0228
41,actor_041,Medea By M. Arrebola,Medea By M. Arrebola,https://www.mixamo.com/#/?page=1&query=Medea+By+M.+Arrebola&type=Character,0,0,0.249
42,actor_042,Megan,Megan,https://www.mixamo.com/#/?page=1&query=Megan&type=Character,1,0,0.02286
43,actor_043,Michelle,Michelle,https://www.mixamo.com/#/?page=1&query=Michelle&type=Character,1,0,0.02515
44,actor_044,Ninja,Ninja,https://www.mixamo.com/#/?page=1&query=Ninja&type=Character,3,0,0.02284
45,actor_045,Olivia,Olivia,https://www.mixamo.com/#/?page=1&query=Olivia&type=Character,1,0,0.02292
46,actor_046,Paladin J Nordstrom,Paladin J Nordstrom,https://www.mixamo.com/#/?page=1&query=Paladin+J+Nordstrom&type=Character,2,0,0.0233
47,actor_047,Passive Marker Man,Passive Marker Man,https://www.mixamo.com/#/?page=1&query=Passive+Marker+Man&type=Character,1,0,0.02221
48,actor_048,Pearl,Pearl,https://www.mixamo.com/#/?page=1&query=Pearl&type=Character,1,0,0.0253
49,actor_049,Peasant Man,Peasant Man,https://www.mixamo.com/#/?page=1&query=Peasant+Man&type=Character,1,0,0.01959
50,actor_050,Pete,Pete,https://www.mixamo.com/#/?page=1&query=Pete&type=Character,1,0,0.02248
51,actor_051,Racer,Racer,https://www.mixamo.com/#/?page=1&query=Racer&type=Character,1,0,0.02247
52,actor_052,Regina,Regina,https://www.mixamo.com/#/?page=1&query=Regina&type=Character,1,0,0.012
53,actor_053,Remy,Remy,https://www.mixamo.com/#/?page=1&query=Remy&type=Character,1,0,0.01063
54,actor_054,Roth,Roth,https://www.mixamo.com/#/?page=1&query=Roth&type=Character,1,0,0.0229
55,actor_055,Shae,Shae,https://www.mixamo.com/#/?page=1&query=Shae&type=Character,1,0,0.01177
56,actor_056,Shannon,Shannon,https://www.mixamo.com/#/?page=1&query=Shannon&type=Character,1,0,0.0225
57,actor_057,Sophie,Sophie,https://www.mixamo.com/#/?page=1&query=Sophie&type=Character,1,0,0.0227
58,actor_058,Stefani,Stefani,https://www.mixamo.com/#/?page=1&query=Stefani&type=Character,1,0,0.01183
59,actor_059,Steve,Steve,https://www.mixamo.com/#/?page=1&query=Steve&type=Character,1,0,0.02248
60,actor_060,Suzie,Suzie,https://www.mixamo.com/#/?page=1&query=Suzie&type=Character,1,0,0.02284
61,actor_061,Swat Guy,Swat Guy,https://www.mixamo.com/#/?page=1&query=Swat+Guy&type=Character,2,0,0.0226
62,actor_062,Vanguard By T. Choonyung,Vanguard By T. Choonyung,https://www.mixamo.com/#/?page=1&query=Vanguard+By+T.+Choonyung&type=Character,1,0,0.02218
63,actor_063,X Bot,X Bot,https://www.mixamo.com/#/?page=1&query=X+Bot&type=Character,1,0,0.02212
64,actor_064,Y Bot,Y Bot,https://www.mixamo.com/#/?page=1&query=Y+Bot&type=Character,1,0,0.02217
